id,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
2056638,100%,,f,f,Entire loft,Entire home/apt,3,1.5 baths,1.0,1.0,"$1,434.00",1.0,1125.0,0,19,49,324,21,0,0,4.95,4.71,5.0,4.95,4.95,5.0,4.86,0.19
2072354,,,f,t,Entire guest suite,Entire home/apt,2,1 bath,1.0,1.0,$830.00,3.0,1125.0,11,41,71,346,61,1,0,4.85,4.9,4.93,4.88,5.0,4.95,4.84,0.54
696037,100%,90%,t,t,Entire rental unit,Entire home/apt,6,2 baths,3.0,3.0,"$1,469.00",24.0,1125.0,0,0,0,87,39,2,0,4.57,4.82,4.92,4.71,4.92,4.58,4.71,0.31
35797,,,f,t,Entire villa,Entire home/apt,2,1 bath,1.0,1.0,"$3,658.00",1.0,7.0,28,58,88,363,0,0,0,,,,,,,,
44616,100%,86%,f,t,Entire home,Entire home/apt,14,5.5 baths,5.0,8.0,"$18,000.00",1.0,365.0,30,59,89,357,64,12,1,4.58,4.56,4.87,4.7,4.78,4.98,4.48,0.46
2075738,100%,70%,f,t,Entire loft,Entire home/apt,2,2 baths,1.0,1.0,"$2,561.00",2.0,30.0,2,13,19,240,78,16,1,4.87,4.9,4.91,4.71,4.85,5.0,4.83,0.7
56074,100%,95%,t,t,Entire condo,Entire home/apt,2,1 bath,1.0,1.0,$650.00,3.0,250.0,0,0,0,144,84,15,0,4.87,4.95,4.98,4.88,4.94,4.75,4.79,0.58
61792,100%,100%,t,t,Private room in home,Private room,2,1 shared bath,1.0,1.0,"$1,089.00",2.0,1125.0,18,48,78,168,62,6,0,4.92,4.89,4.92,4.9,4.95,4.94,4.87,0.94
704779,100%,100%,t,t,Entire condo,Entire home/apt,2,1 bath,1.0,1.0,$943.00,2.0,1125.0,25,42,66,156,18,3,1,4.72,4.75,4.63,4.75,4.75,4.88,4.81,0.15
728372,92%,58%,t,t,Entire home,Entire home/apt,16,5.5 baths,10.0,16.0,"$2,561.00",1.0,90.0,9,15,37,270,120,6,0,4.73,4.74,4.88,4.69,4.88,4.34,4.75,0.95
