id,property_type,room_type,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
2056638,Entire loft,Entire home/apt,1.0,0.91,0.0,1.0,3.0,1.0,1.0,1.0,1434.0,1.0,1125.0,0,19,49,324,21.0,0.0,0.0,4.95,4.71,5.0,4.95,4.95,5.0,4.86,0.19
2072354,Entire guest suite,Entire home/apt,0.95,0.91,0.0,1.0,2.0,1.0,1.0,1.0,830.0,3.0,1125.0,11,41,71,346,61.0,1.0,0.0,4.85,4.9,4.93,4.88,5.0,4.95,4.84,0.54
696037,Entire rental unit,Entire home/apt,1.0,0.9,1.0,1.0,6.0,2.0,3.0,3.0,1469.0,24.0,1125.0,0,0,0,87,39.0,2.0,0.0,4.57,4.82,4.92,4.71,4.92,4.58,4.71,0.31
35797,Entire villa,Entire home/apt,0.95,0.91,0.0,1.0,2.0,1.0,1.0,1.0,3658.0,1.0,7.0,28,58,88,363,0.0,0.0,0.0,4.72,4.78,4.83,4.75,4.82,4.83,4.71,1.7
44616,Entire home,Entire home/apt,1.0,0.86,0.0,1.0,3.1,1.3,1.5,1.8,18000.0,1.0,365.0,30,59,89,357,64.0,12.0,1.0,4.58,4.56,4.87,4.7,4.78,4.98,4.48,0.46
2075738,Entire loft,Entire home/apt,1.0,0.7,0.0,1.0,2.0,2.0,1.0,1.0,2561.0,2.0,30.0,2,13,19,240,78.0,16.0,1.0,4.87,4.9,4.91,4.71,4.85,5.0,4.83,0.7
56074,Entire condo,Entire home/apt,1.0,0.95,1.0,1.0,2.0,1.0,1.0,1.0,650.0,3.0,250.0,0,0,0,144,84.0,15.0,0.0,4.87,4.95,4.98,4.88,4.94,4.75,4.79,0.58
61792,Private room in home,Private room,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1089.0,2.0,1125.0,18,48,78,168,62.0,6.0,0.0,4.92,4.89,4.92,4.9,4.95,4.94,4.87,0.94
704779,Entire condo,Entire home/apt,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,943.0,2.0,1125.0,25,42,66,156,18.0,3.0,1.0,4.72,4.75,4.63,4.75,4.75,4.88,4.81,0.15
728372,Entire home,Entire home/apt,0.92,0.58,1.0,1.0,3.1,1.3,1.5,1.8,2561.0,1.0,90.0,9,15,37,270,120.0,6.0,0.0,4.73,4.74,4.88,4.69,4.88,4.34,4.75,0.95
2083241,Entire rental unit,Entire home/apt,1.0,0.98,1.0,1.0,3.0,1.0,1.0,2.0,1881.0,3.0,1125.0,4,33,63,153,29.8,36.0,1.0,4.93,4.94,5.0,4.96,4.99,4.95,4.91,2.63
67703,Entire rental unit,Entire home/apt,0.75,0.73,0.0,1.0,4.0,1.0,2.0,2.0,2088.0,4.0,30.0,27,57,87,362,47.0,7.0,0.0,4.89,4.8,4.93,4.73,4.91,4.98,4.91,0.34
2084093,Entire loft,Entire home/apt,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,402.0,1.0,1125.0,23,53,83,358,29.8,29.0,2.0,4.53,4.74,4.83,4.69,4.79,4.62,4.61,5.61
70644,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1097.0,7.0,180.0,0,21,21,145,114.0,5.0,0.0,4.9,4.9,4.95,4.95,4.98,4.96,4.92,0.84
737328,Room in serviced apartment,Hotel room,0.9,0.87,1.0,1.0,2.0,1.0,1.0,1.0,1006.0,2.0,1125.0,8,35,65,340,23.0,0.0,0.0,4.83,4.87,5.0,4.83,5.0,4.83,4.78,0.18
741557,Entire serviced apartment,Entire home/apt,0.9,0.87,1.0,1.0,2.0,1.0,1.0,1.0,998.0,2.0,730.0,15,45,75,350,7.0,1.0,0.0,4.29,4.14,4.43,4.29,4.43,4.43,4.29,0.06
760912,Private room in rental unit,Private room,0.95,0.9,0.0,1.0,2.0,1.0,1.0,1.0,726.0,1.0,14.0,28,58,88,363,5.0,0.0,0.0,4.75,4.6,5.0,4.2,4.6,4.8,4.6,0.04
2088218,Private room in home,Private room,1.0,0.91,0.0,1.0,1.0,1.0,1.0,1.0,375.0,2.0,1125.0,0,0,9,284,5.0,0.0,0.0,4.4,5.0,5.0,4.6,4.8,4.4,4.4,0.04
