id,property_type,room_type,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
737328,Room in serviced apartment,Hotel room,0.9,0.87,1.0,1.0,2.0,1.0,1.0,1.0,1006.0,2.0,1125.0,8,35,65,340,23.0,0.0,0.0,4.83,4.87,5.0,4.83,5.0,4.83,4.78,0.18
865012,Room in serviced apartment,Hotel room,0.9,0.87,1.0,1.0,2.0,1.0,1.0,1.0,1006.0,2.0,1125.0,0,27,57,332,31.0,0.0,0.0,4.97,4.97,5.0,4.94,5.0,4.97,4.97,0.25
868843,Room in serviced apartment,Hotel room,0.9,0.87,1.0,1.0,2.0,1.0,1.0,1.0,908.0,2.0,1125.0,18,45,75,350,49.0,9.0,1.0,4.98,4.98,5.0,4.92,5.0,5.0,4.9,0.46
869063,Room in serviced apartment,Hotel room,0.9,0.87,1.0,1.0,2.0,1.0,1.0,1.0,908.0,2.0,1125.0,24,54,84,356,22.0,3.0,0.0,4.95,5.0,5.0,4.95,5.0,4.95,4.95,0.25
281134,Room in serviced apartment,Hotel room,1.0,0.86,0.0,1.0,3.0,1.0,1.0,2.0,3162.0,2.7,365.0,29,40,69,287,7.0,0.0,0.0,4.71,4.71,5.0,5.0,5.0,5.0,4.86,0.07
571166,Room in serviced apartment,Hotel room,1.0,0.86,0.0,1.0,3.0,1.0,1.0,1.0,2808.0,1.9,365.0,0,0,0,16,1.0,0.0,0.0,4.0,5.0,5.0,5.0,4.9,5.0,4.0,0.02
1565220,Room in boutique hotel,Hotel room,1.0,0.94,1.0,1.0,2.0,1.0,1.0,1.0,2900.0,1.0,90.0,30,60,90,365,25.0,2.0,0.0,4.96,5.0,5.0,5.0,4.96,4.92,4.92,0.22
1736063,Room in boutique hotel,Hotel room,1.0,0.94,1.0,1.0,2.0,1.0,1.0,1.0,1800.0,1.0,90.0,30,60,83,355,44.0,10.0,1.0,4.84,4.79,4.88,4.95,4.91,4.95,4.84,0.4
2908932,Room in serviced apartment,Hotel room,0.99,0.99,0.0,1.0,4.0,1.0,2.0,3.0,908.0,2.0,1125.0,0,0,0,74,4.0,0.0,0.0,4.5,5.0,4.5,5.0,5.0,5.0,4.75,0.08
6810808,Room in bed and breakfast,Hotel room,0.95,0.66,0.0,1.0,3.1,1.39,1.5,1.8,9602.0,1.0,1125.0,30,60,90,365,7.0,0.0,0.0,3.71,3.86,4.33,3.86,3.86,3.86,3.57,0.08
9171973,Room in serviced apartment,Hotel room,0.98,0.94,0.0,1.0,2.0,1.0,1.0,1.0,955.0,2.0,99.0,22,52,82,357,37.0,1.0,0.0,4.83,4.92,4.81,4.92,4.78,4.97,4.75,0.44
11491144,Room in bed and breakfast,Hotel room,0.95,0.66,0.0,1.0,3.1,1.39,1.5,1.8,10125.0,1.0,1125.0,30,60,90,365,0.0,0.0,0.0,4.72,4.78,4.83,4.75,4.82,4.83,4.71,1.7
